Tag,Placas,No.Economico,Clase,Tipo de tag,Estatus,Saldo,Modificado por
IMDM24369152.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369151.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369150.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369149.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369148.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369147.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369146.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369145.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369144.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369143.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369142.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369141.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369140.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369139.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369138.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369137.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369136.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369135.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369134.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369133.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369132.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369131.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369130.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369129.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369128.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369127.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369126.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369125.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369124.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369123.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369122.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369121.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369120.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369119.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369118.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369117.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369116.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369115.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369114.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369113.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369112.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369111.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369110.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369109.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369108.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369107.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369106.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369105.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369104.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369103.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369102.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369101.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369100.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369099.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369098.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369097.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369096.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369095.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369094.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369093.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369092.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369091.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369090.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369089.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369088.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369087.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369086.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369085.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369084.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369083.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369082.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369081.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369080.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369079.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369078.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369077.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369076.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369075.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369074.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369073.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369072.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369071.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369070.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369069.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369068.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369067.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369066.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369065.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369064.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369063.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369062.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369061.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369060.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369059.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369058.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369057.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369056.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369055.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369054.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369053.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369052.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369051.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369050.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369049.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369048.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369047.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369046.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369045.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369044.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369043.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369042.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369041.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369040.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369039.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369038.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369037.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369036.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369035.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369034.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369033.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369032.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369031.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369030.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369029.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369028.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369027.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369026.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369025.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369024.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369023.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369022.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369021.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369020.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369019.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369018.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369017.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369016.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369015.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369014.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369013.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369012.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369011.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369010..,10F777,20018,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24369009..,M48AUU,18136,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24369008..,10F372,20047,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24369007..,10F373,20048,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24369006.., ,Por asignar,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24369005..,10F341,20007,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24369004..,L49AUU,18184,1,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24369003..,K80AVT,18179,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24369002..,10F778,20002,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24369001..,11F317,20014,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24369000..,11F319,20010,1,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24368999..,L92AVT,18032,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24368998..,P21AVT,18141,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24368997..,P75AVT,18009,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24368996.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24368995..,M48AUU,18186,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24368994.., , ,2,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24368993.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24368992.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24368991.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24368990.., , ,2,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24368989.., , ,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24368988..,L51AVT,18050,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24368987.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24368986.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24368985.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24368984.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24368983.., , ,2,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24204471..,6D5HA,16137,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204470..,K04AVT,18153,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204469..,T24APJ,17194,1,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24204468..,K67APL,17117,1,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24204467..,3F2AL,17216,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204466..,99E770,19058,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204465..,07F096,19235,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204464..,07F158,19234,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204463..,07F156,19239,1,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24204462..,07F160,19238,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204461..,07F157,19236,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204460..,07F155,19237,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204459..,1H1LU,19257,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204458..,9H9HZ,19256,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204457..,9H8HZ,19255,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204456..,9H7HZ,19254,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204455..,9H6HZ,19253,1,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24204454..,9H5HZ,19252,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204453..,9H4HZ,19251,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204452..,9H3HZ,19250,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204451..,9H2HZ,19249,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204450..,9H1HZ,19248,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204449..,8H9HZ,19247,1,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24204448..,8H8HZ,19246,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204447..,8H7HZ,19245,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204446..,8H6HZ,19244,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204445.., , ,1,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24204444..,8H4HZ,19242,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204443..,3F7AL,17218,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204442..,4F4AL,17221,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204441..,2F8AL,17229,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204440..,09F214,19260,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204439..,8H5HZ,19243,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204438..,09F219,19262,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204437..,09F216,19261,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204436..,09F217,19259,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204435..,24204435,20051,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204434..,10F019,20028,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204433..,09F983,20022,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204432.., , ,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204431..,09F988,20024,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204430..,X72ANZ,17048,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204429..,09F986,20026,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204428..,10F355,20044,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204427..,09F981,20021,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204426..,09F987,20029,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204425..,10F019,20028,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204424..,10F020,20027,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204423..,10F021,20020,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204422..,10F015,20017,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204421..,10F023,20005,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204420..,10F162,20088,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204419..,10F154,20087,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204418..,10F155,20086,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204417..,10F156,20085,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204416.., , ,1,CALCOMANIA IMDM PASE,Inactivo,$0.00,
IMDM24204415..,09F766,20082,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204414..,09F763,20080,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204413..,09F757,20079,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204412..,09F755,20078,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204411..,09F756,20077,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204410..,09F761,20076,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204409..,09F760,20075,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204408..,09F758,20074,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204407..,09F759,20073,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204406..,09F822,20072,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204405..,09F817,20071,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204404..,09F830,20070,1,CALCOMANIA IMDM PASE,Activo,$0.00,
IMDM24204403..,09F827,20069,1,CALCOMANIA IMDM PASE,Activo,$0.00,
